Date,Album,AlbumURL,AlbumImageURL,Artist,ArtistURL
1949-08-06,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-08-13,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-08-20,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-08-27,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-09-03,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-09-10,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-09-17,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-09-24,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-10-01,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-10-08,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-10-15,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-10-22,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-10-29,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-11-05,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-11-12,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-11-19,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-11-26,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-12-03,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
1949-12-10,South Pacific,/wiki/South_Pacific_(musical),http://upload.wikimedia.org/wikipedia/en/6/6b/Musical1949-SouthPacific-OriginalPoster.jpg,Original Cast,
